AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Sex,Intact,hasName,Mix,isOneColored
A719398,Ridley,2016-01-21 18:30:00,Return_to_owner,,Dog,Spayed Female,1095,German Shepherd Mix,Brown/Black,Female,0,1,1,0
A593567,Bruno,2015-10-04 11:53:00,Return_to_owner,,Dog,Neutered Male,1825,Chihuahua Shorthair Mix,Sable/White,Male,0,1,1,0
A669580,Biscuit,2013-12-23 14:49:00,Euthanasia,Suffering,Dog,Spayed Female,4745,Labrador Retriever/Chow Chow,Tan,Female,0,1,0,1
A720686,Chimi,2016-02-14 17:34:00,Return_to_owner,,Dog,Neutered Male,240,Chihuahua Shorthair Mix,Tan/White,Male,0,1,1,0
A679526,,2014-05-23 19:10:00,Transfer,SCRP,Cat,Intact Female,365,Siamese Mix,Seal Point,Female,1,0,1,1
A707399,Toby,2015-07-14 11:24:00,Return_to_owner,,Dog,Neutered Male,730,Chihuahua Shorthair Mix,Brown,Male,0,1,1,1
A664697,Jezzabelle,2013-10-24 12:52:00,Adoption,Foster,Dog,Spayed Female,120,Border Terrier Mix,White/Tan,Female,0,1,1,0
A696118,Misty,2015-02-04 17:07:00,Adoption,,Dog,Spayed Female,1460,Miniature Poodle/Chihuahua Shorthair,Cream,Female,0,1,0,1
A671023,Murphy,2014-08-03 15:44:00,Transfer,Partner,Dog,Neutered Male,1095,Australian Cattle Dog Mix,Blue Merle,Male,0,1,1,1
A688889,,2014-10-04 11:24:00,Transfer,Partner,Dog,Intact Female,1095,German Shepherd Mix,Black/Tan,Female,1,0,1,0
A662100,Beaux,2015-02-19 12:59:00,Transfer,Partner,Dog,Neutered Male,1460,German Shepherd,Brown/Black,Male,0,1,1,0
A672589,,2014-02-13 14:31:00,Euthanasia,Suffering,Cat,Neutered Male,3650,Domestic Medium Hair Mix,Orange Tabby,Male,0,0,1,1
A682504,Champ,2014-06-30 17:53:00,Return_to_owner,,Dog,Intact Male,730,Pit Bull Mix,Blue/White,Male,1,1,1,0
A683353,Dino,2014-07-12 15:32:00,Return_to_owner,,Dog,Neutered Male,330,Australian Cattle Dog/Beagle,Brown,Male,0,1,0,1
A679722,,2014-06-01 14:52:00,Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair Mix,Brown Tabby/White,Female,1,0,1,0
A673717,Blackie,2014-03-12 18:41:00,Return_to_owner,,Dog,Neutered Male,3285,Shiba Inu Mix,Red/Cream,Male,0,1,1,0
A703832,,2015-05-30 09:00:00,Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair Mix,Brown Tabby/White,Female,1,0,1,0
A713006,Charlene,2015-10-03 15:35:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Black/White,Female,1,1,1,0
A711844,Bambam,2015-09-13 11:12:00,Return_to_owner,,Dog,Spayed Female,4015,Shih Tzu Mix,Black/White,Female,0,1,1,0
A675104,Marmalade,2014-05-07 14:53:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair Mix,Orange Tabby/White,Male,0,1,1,0
A696648,,2015-02-14 18:32:00,Adoption,,Dog,Spayed Female,60,Australian Cattle Dog/Pointer,White/Brown,Female,0,0,0,0
A712936,Louise,2015-10-09 16:57:00,Adoption,,Dog,Spayed Female,365,Shiba Inu Mix,Red,Female,0,1,1,1
A701093,Lucus,2015-05-04 16:12:00,Return_to_owner,,Dog,Neutered Male,730,Chihuahua Shorthair Mix,Tan/White,Male,0,1,1,0
A679895,,2014-05-30 08:00:00,Transfer,SCRP,Cat,Intact Male,1095,Domestic Shorthair Mix,Black/White,Male,1,0,1,0
A704076,Destiny,2015-06-13 14:22:00,Adoption,,Dog,Spayed Female,3285,Labrador Retriever Mix,Brown,Female,0,1,1,1
A707818,,2015-07-19 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A665496,Mikey,2013-10-22 17:54:00,Adoption,,Cat,Neutered Male,1095,Bengal,Brown Tiger,Male,0,1,1,1
A662219,Ollie,2013-10-29 12:45:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Medium Hair Mix,Blue Point,Male,0,1,1,1
A685601,Hank,2014-08-13 17:13:00,Adoption,,Dog,Neutered Male,90,Cairn Terrier Mix,Tan/Black,Male,0,1,1,0
A720607,Zeus,2016-02-13 16:14:00,Return_to_owner,,Dog,Intact Male,365,German Shepherd Mix,Brown/Black,Male,1,1,1,0
A713336,,2015-10-06 09:00:00,Transfer,SCRP,Cat,Neutered Male,365,Domestic Shorthair Mix,Blue,Male,0,0,1,1
A688659,,2014-09-27 16:48:00,Transfer,Partner,Dog,Spayed Female,150,Border Collie,Black,Female,0,0,1,1
A707579,Money,2015-07-23 17:43:00,Return_to_owner,,Dog,Spayed Female,365,Pit Bull Mix,Brown/White,Female,0,1,1,0
A669643,Dale,2014-01-05 13:10:00,Return_to_owner,,Dog,Intact Male,150,Australian Cattle Dog/Bloodhound,Brown Brindle/White,Male,1,1,0,0
A685868,Sierra,2014-08-13 19:00:00,Return_to_owner,,Cat,Spayed Female,270,Domestic Shorthair Mix,Agouti,Female,0,1,1,1
A680035,Carmen,2014-06-06 11:51:00,Adoption,,Dog,Spayed Female,730,Chihuahua Shorthair Mix,White/Brown Brindle,Female,0,1,1,0
A699027,Meow,2015-05-04 12:20:00,Adoption,,Cat,Spayed Female,3650,Domestic Shorthair Mix,Black/White,Female,0,1,1,0
A645251,Woodrow,2014-12-14 12:47:00,Adoption,,Dog,Neutered Male,365,Miniature Schnauzer Mix,White/Tan,Male,0,1,1,0
A670148,Rosie,2014-01-28 18:20:00,Adoption,Foster,Dog,Spayed Female,30,Labrador Retriever Mix,Black/White,Female,0,1,1,0
A692110,Bear,2014-12-01 16:42:00,Adoption,,Dog,Neutered Male,730,English Shepherd Mix,Tricolor,Male,0,1,1,1
A686539,,2014-08-28 09:00:00,Transfer,SCRP,Cat,Intact Female,150,Siamese Mix,Lynx Point,Female,1,0,1,1
A644507,Stella,2014-04-18 14:05:00,Transfer,Partner,Dog,Spayed Female,1825,West Highland Mix,White,Female,0,1,1,1
A698946,Carla,2015-03-27 11:58:00,Transfer,Partner,Dog,Intact Female,1095,Pit Bull Mix,White,Female,1,1,1,1
A681431,Deltadawn,2014-06-22 16:46:00,Euthanasia,Behavior,Dog,Intact Female,1825,Labrador Retriever Mix,Brown,Female,1,1,1,1
A712007,Samantha,2015-09-15 16:36:00,Return_to_owner,,Dog,Intact Female,180,German Shepherd Mix,Sable,Female,1,1,1,1
A682468,,2014-06-28 13:32:00,Transfer,Partner,Cat,Intact Female,3,Domestic Shorthair Mix,Blue/White,Female,1,0,1,0
A665551,Aggie,2013-12-12 13:11:00,Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair Mix,Black/White,Female,0,1,1,0
A689248,Jack,2015-01-01 10:51:00,Adoption,Foster,Cat,Neutered Male,120,Domestic Shorthair Mix,Brown Tabby/White,Male,0,1,1,0
A679734,,2014-05-25 13:44:00,Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair Mix,Brown Tabby,Male,1,0,1,1
A704428,,2015-06-04 18:52:00,Transfer,Partner,Dog,Unknown,6,Chihuahua Shorthair/Pit Bull,Brown Brindle,NaN,NaN,0,0,1
A671413,Magnus,2014-02-02 11:15:00,Return_to_owner,,Dog,Neutered Male,730,Boxer/Pit Bull,Red/White,Male,0,1,0,0
A677717,Butters,2014-05-03 13:55:00,Transfer,Partner,Dog,Spayed Female,3650,Cocker Spaniel/Labrador Retriever,Buff,Female,0,1,0,1
A696142,Louden,2015-02-03 11:15:00,Return_to_owner,,Dog,Spayed Female,1825,Labrador Retriever Mix,Red,Female,0,1,1,1
A665583,,2013-10-20 13:37:00,Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair Mix,Calico,Female,1,0,1,1
A674508,Spencer,2014-09-30 08:03:00,Adoption,Foster,Dog,Neutered Male,2920,Labrador Retriever Mix,Yellow,Male,0,1,1,1
A684041,Bree,2014-09-03 12:25:00,Euthanasia,Aggressive,Dog,Spayed Female,1460,Labrador Retriever Mix,Black,Female,0,1,1,1
A719861,,2016-02-02 19:15:00,Transfer,SCRP,Cat,Spayed Female,300,Domestic Shorthair Mix,Black/White,Female,0,0,1,0
A711389,,2015-09-06 15:30:00,Transfer,Partner,Cat,Unknown,14,Siamese Mix,Tortie Point,NaN,NaN,0,1,1
A710487,Bobbie,2015-10-02 17:13:00,Transfer,Partner,Dog,Spayed Female,90,Catahoula Mix,Sable,Female,0,1,1,1
A669002,Candy 2,2013-12-13 11:54:00,Transfer,Partner,Dog,Intact Female,270,Shih Tzu/Miniature Poodle,White/Black,Female,1,1,0,0
A696049,Peeka,2015-02-15 13:18:00,Transfer,Partner,Cat,Intact Female,2190,Domestic Shorthair Mix,Calico,Female,1,1,1,1
A685101,Blanca,2015-03-14 11:25:00,Return_to_owner,,Dog,Spayed Female,365,Pit Bull/Dalmatian,White/Black,Female,0,1,0,0
A718737,Roma,2016-01-12 18:13:00,Adoption,,Dog,Spayed Female,730,Pit Bull/Labrador Retriever,Tan/White,Female,0,1,0,0
A695180,Duke,2015-01-12 17:51:00,Return_to_owner,,Dog,Neutered Male,730,Boxer Mix,Red/White,Male,0,1,1,0
A703248,,2015-05-26 17:15:00,Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair Mix,Blue Tabby/White,Male,1,0,1,0
A712450,,2015-09-24 00:00:00,Adoption,,Dog,Neutered Male,60,Chihuahua Shorthair Mix,Tan/White,Male,0,0,1,0
A524680,Hilary,2013-11-30 14:48:00,Return_to_owner,,Dog,Spayed Female,2555,Australian Shepherd/English Setter,White/Tan,Female,0,1,0,0
A663930,Oliver,2013-10-13 14:05:00,Adoption,,Dog,Neutered Male,1095,Cairn Terrier Mix,Tan/Black,Male,0,1,1,0
A695674,Chico,2015-01-23 12:31:00,Transfer,Partner,Dog,Neutered Male,1460,Rottweiler Mix,Black/Tan,Male,0,1,1,0
A712644,Seattle,2015-09-29 13:57:00,Return_to_owner,,Cat,Neutered Male,3650,Cornish Rex Mix,White/Black,Male,0,1,1,0
A682943,Yoshi,2014-07-09 16:52:00,Adoption,,Cat,Neutered Male,60,Siamese,Lilac Point,Male,0,1,1,1
A695691,Princess,2015-01-24 13:04:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair/Rat Terrier,White/Brown,Female,0,1,0,0
A698376,,2015-03-10 18:19:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,White/Black,NaN,NaN,0,1,0
A681570,Big Joe,2014-07-11 17:51:00,Adoption,Foster,Dog,Neutered Male,30,Labrador Retriever/Blue Lacy,Black/White,Male,0,1,0,0
A678198,Sassy,2014-05-17 11:29:00,Transfer,Partner,Cat,Spayed Female,180,Domestic Longhair Mix,Tortie,Female,0,1,1,1
A701722,Jack,2015-05-20 17:21:00,Adoption,,Dog,Neutered Male,240,Miniature Schnauzer Mix,Buff,Male,0,1,1,1
A691834,Fifi,2015-01-20 18:53:00,Return_to_owner,,Dog,Spayed Female,365,Miniature Schnauzer/Jack Russell Terrier,Brown/Black,Female,0,1,0,0
A663879,Halo,2013-12-08 14:32:00,Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair Mix,Calico,Female,0,1,1,1
A665593,Loki,2013-12-07 17:33:00,Adoption,,Cat,Neutered Male,1095,Domestic Shorthair Mix,Orange Tabby,Male,0,1,1,1
A678697,,2014-05-17 18:54:00,Transfer,Partner,Dog,Spayed Female,1095,Yorkshire Terrier Mix,Tan/Silver,Female,0,0,1,0
A689737,,2014-10-11 13:09:00,Transfer,Partner,Dog,Intact Male,270,Pit Bull Mix,Blue/White,Male,1,0,1,0
A667328,Sam,2013-12-01 17:25:00,Adoption,,Cat,Neutered Male,150,Domestic Shorthair Mix,Orange Tabby/White,Male,0,1,1,0
A646964,Lovely,2013-12-24 11:35:00,Adoption,,Dog,Spayed Female,365,Pit Bull Mix,Black/White,Female,0,1,1,0
A700691,Caddie,2015-05-10 12:29:00,Adoption,,Dog,Spayed Female,240,Border Collie/Canaan Dog,Black/White,Female,0,1,0,0
A672397,Zilkie,2014-02-15 13:34:00,Adoption,,Dog,Neutered Male,730,Shiba Inu Mix,Red,Male,0,1,1,1
A718227,Tulsi,2015-12-27 11:13:00,Return_to_owner,,Dog,Intact Female,330,Toy Poodle Mix,Brown,Female,1,1,1,1
A504280,Duke,2014-01-03 19:08:00,Return_to_owner,,Dog,Neutered Male,2190,Flat Coat Retriever Mix,Black/White,Male,0,1,1,0
A707889,Katydid,2015-07-26 17:54:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Black/White,Male,0,1,1,0
A705178,Lamar,2015-07-25 08:13:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby,Male,0,1,1,1
A680476,Frisco,2014-06-06 14:30:00,Transfer,Partner,Dog,Neutered Male,365,Boxer Mix,Red/White,Male,0,1,1,0
A670199,Chuy,2014-01-07 18:02:00,Adoption,,Dog,Neutered Male,730,English Bulldog Mix,White/Brown Brindle,Male,0,1,1,0
A694991,Tuxedo,2015-01-15 13:56:00,Return_to_owner,,Dog,Neutered Male,730,Labrador Retriever Mix,Black,Male,0,1,1,1
A681150,Jasmine,2014-06-20 14:21:00,Transfer,Partner,Dog,Intact Female,1095,Rottweiler Mix,Black/Brown,Female,1,1,1,0
A693879,,2014-12-17 09:00:00,Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair Mix,Brown Tabby/White,Male,1,0,1,0
A679770,Carl,2014-09-11 17:50:00,Adoption,,Dog,Neutered Male,365,Pit Bull Mix,Tan/White,Male,0,1,1,0
A700413,,2015-04-15 12:57:00,Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair Mix,Blue Tabby,Male,1,0,1,1
A711063,Foxy,2015-09-06 16:24:00,Transfer,Partner,Dog,Spayed Female,1825,Chihuahua Shorthair Mix,Tan/White,Female,0,1,1,0
A702707,Kane,2015-05-17 11:32:00,Return_to_owner,,Dog,Neutered Male,90,Siberian Husky Mix,Cream/White,Male,0,1,1,0
A667812,Kanga,2013-12-28 16:52:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Brown/White,Female,0,1,1,0
A717154,Boom,2015-12-03 14:05:00,Transfer,Partner,Dog,Intact Male,30,Pekingese/Miniature Poodle,Tricolor,Male,1,1,0,1
A690919,,2014-10-28 12:37:00,Transfer,Partner,Cat,Intact Female,21,Domestic Medium Hair Mix,Blue Tabby,Female,1,0,1,1
A687278,,2014-09-04 17:06:00,Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair Mix,Brown Tabby,Female,1,0,1,1
A649776,Dexter,2014-03-08 11:17:00,Transfer,Partner,Dog,Neutered Male,365,Dachshund Longhair Mix,Blue Merle,Male,0,1,1,1
A662104,Gracie,2014-04-24 18:59:00,Adoption,,Dog,Spayed Female,1095,Labrador Retriever Mix,Black/White,Female,0,1,1,0
A703374,Lilly,2015-05-27 18:31:00,Adoption,,Dog,Spayed Female,730,Schnauzer Giant Mix,Black,Female,0,1,1,1
A718589,,2016-01-06 12:02:00,Adoption,,Dog,Spayed Female,1460,Chihuahua Shorthair Mix,White/Brown,Female,0,0,1,0
A703792,Onyx,2015-05-29 12:43:00,Return_to_owner,,Dog,Spayed Female,5110,Standard Poodle Mix,Black/Brown,Female,0,1,1,0
A700796,Rigger,2015-04-28 00:00:00,Transfer,Partner,Dog,Neutered Male,120,Black Mouth Cur/American Staffordshire Terrier,Tan/White,Male,0,1,0,0
A690754,,2014-10-30 11:18:00,Adoption,,Dog,Spayed Female,90,Queensland Heeler Mix,Brown Merle,Female,0,0,1,1
A684113,Sam,2014-07-24 13:53:00,Adoption,,Dog,Spayed Female,365,German Shepherd Mix,White,Female,0,1,1,1
A668528,Dottie,2014-03-30 19:05:00,Adoption,Foster,Dog,Spayed Female,150,Chihuahua Shorthair,Brown/White,Female,0,1,1,0
A704160,Juno,2015-06-03 16:09:00,Return_to_owner,,Dog,Spayed Female,2555,Australian Cattle Dog/Collie Smooth,Sable/White,Female,0,1,0,0
A662776,Lil Baby,2013-11-06 09:15:00,Adoption,Offsite,Cat,Spayed Female,365,Siamese Mix,Lynx Point,Female,0,1,1,1
A670729,,2014-01-16 17:50:00,Transfer,Partner,Dog,Intact Female,28,German Shepherd/Boxer,Tricolor,Female,1,0,0,1
A669978,Rex,2014-02-23 12:52:00,Return_to_owner,,Dog,Neutered Male,365,Whippet Mix,Red,Male,0,1,1,1
A712284,,2015-09-24 14:38:00,Transfer,Partner,Cat,Intact Male,90,Domestic Shorthair Mix,Blue Tabby/White,Male,1,0,1,0
A718346,,2016-01-08 19:11:00,Transfer,SCRP,Cat,Spayed Female,730,Domestic Longhair Mix,Tortie,Female,0,0,1,1
A705148,Annie,2015-07-18 17:26:00,Adoption,,Dog,Spayed Female,365,Chihuahua Longhair Mix,White/Tan,Female,0,1,1,0
A651258,Ethan,2014-10-01 15:03:00,Return_to_owner,,Cat,Neutered Male,365,Domestic Shorthair Mix,Orange Tabby,Male,0,1,1,1
A713536,Eggy,2015-12-17 15:23:00,Transfer,Partner,Cat,Neutered Male,730,Domestic Shorthair Mix,Black,Male,0,1,1,1
A679773,Minnie Mouse,2014-05-29 18:59:00,Return_to_owner,,Dog,Spayed Female,2920,Yorkshire Terrier Mix,Gray/Tan,Female,0,1,1,0
A666660,Dolly,2014-12-11 17:52:00,Adoption,,Dog,Spayed Female,730,Beagle Mix,Tan/White,Female,0,1,1,0
A707000,,2015-07-10 12:06:00,Adoption,,Cat,Spayed Female,60,Domestic Shorthair Mix,Blue/White,Female,0,0,1,0
A684401,Lonestar,2014-07-25 15:45:00,Return_to_owner,,Dog,Intact Male,60,Australian Cattle Dog/Queensland Heeler,Blue Merle/Brown,Male,1,1,0,0
A669710,Capone,2014-01-03 18:21:00,Adoption,,Dog,Neutered Male,240,Pit Bull Mix,Blue/White,Male,0,1,1,0
A713533,Nell,2015-10-13 17:28:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Brown/Black,Female,0,1,1,0
A717244,Booboo,2015-12-08 11:11:00,Return_to_owner,,Dog,Neutered Male,730,Pit Bull Mix,Brown/Black,Male,0,1,1,0
A668702,Blitzen,2013-12-15 14:07:00,Adoption,,Cat,Spayed Female,120,Domestic Shorthair Mix,Brown Tabby/White,Female,0,1,1,0
A719622,Ariel,2016-01-25 18:25:00,Return_to_owner,,Dog,Spayed Female,730,German Shepherd Mix,Cream/Black,Female,0,1,1,0
A677782,,2014-04-29 12:35:00,Transfer,Partner,Cat,Unknown,21,Domestic Shorthair Mix,Black,NaN,NaN,0,1,1
A665582,Honeybear,2013-11-02 14:27:00,Adoption,,Dog,Spayed Female,300,Border Collie/Doberman Pinsch,Black/Brown,Female,0,1,0,0
A664965,Linda,2014-03-21 11:59:00,Return_to_owner,,Dog,Spayed Female,330,Australian Cattle Dog/Alaskan Husky,White/Tan,Female,0,1,0,0
A712111,,2015-09-17 12:23:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Orange Tabby,Male,1,0,1,1
A685302,,2014-08-06 09:00:00,Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair Mix,Black,Female,1,0,1,1
A670723,Pequena,2014-01-13 16:01:00,Return_to_owner,,Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Tan,Female,0,1,1,1
A714043,Bella B.,2015-10-18 17:58:00,Adoption,,Dog,Spayed Female,60,Dachshund Mix,Tan/White,Female,0,1,1,0
A715589,,2015-11-11 11:40:00,Transfer,Partner,Dog,Neutered Male,3650,Chihuahua Shorthair Mix,Tan/White,Male,0,0,1,0
A699526,Thor,2015-04-02 17:46:00,Adoption,,Dog,Neutered Male,60,Black Mouth Cur Mix,Brown/Black,Male,0,1,1,0
A680553,,2014-06-11 18:09:00,Adoption,,Cat,Spayed Female,30,Domestic Longhair,Brown Tabby/White,Female,0,0,1,0
A706157,Sherlock,2015-07-02 18:53:00,Adoption,,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby/White,Male,0,1,1,0
A662308,Benny,2013-10-10 14:43:00,Transfer,Partner,Dog,Intact Male,730,Chihuahua Shorthair Mix,White,Male,1,1,1,1
A535124,Bruno,2014-06-03 13:56:00,Adoption,,Dog,Neutered Male,1825,Dutch Shepherd Mix,Brown Brindle,Male,0,1,1,1
A683910,,2014-07-18 16:00:00,Transfer,Partner,Cat,Unknown,4,Domestic Shorthair Mix,Orange Tabby,NaN,NaN,0,1,1
A680668,Monkey,2014-06-06 14:04:00,Return_to_owner,,Dog,Neutered Male,730,Collie Smooth Mix,Black/White,Male,0,1,1,0
A660607,Petey,2013-10-23 10:28:00,Adoption,Foster,Dog,Neutered Male,1460,Australian Cattle Dog Mix,White/Black,Male,0,1,1,0
A666267,Beau,2013-11-04 16:27:00,Transfer,Partner,Dog,Neutered Male,1095,Miniature Poodle Mix,Black/White,Male,0,1,1,0
A677564,,2014-04-26 13:41:00,Euthanasia,Rabies Risk,Cat,Intact Male,21,Domestic Shorthair Mix,Black,Male,1,0,1,1
A676407,Hanna,2014-04-09 15:27:00,Return_to_owner,,Dog,Spayed Female,730,Australian Cattle Dog Mix,White/Black,Female,0,1,1,0
A685958,Cody,2014-08-31 13:14:00,Transfer,Partner,Dog,Neutered Male,150,Beagle Mix,White/Tan,Male,0,1,1,0
A711917,Mooney,2015-09-27 12:09:00,Adoption,,Dog,Neutered Male,730,Miniature Poodle Mix,White,Male,0,1,1,1
A690551,Franklin,2014-10-24 14:49:00,Transfer,Partner,Cat,Intact Male,730,Domestic Shorthair Mix,Blue Tabby/White,Male,1,1,1,0
A716411,Cookie,2015-12-12 16:23:00,Adoption,,Dog,Spayed Female,365,Labrador Retriever Mix,Black/White,Female,0,1,1,0
A712800,Blake,2015-09-30 15:09:00,Return_to_owner,,Dog,Intact Male,60,Labrador Retriever Mix,Buff,Male,1,1,1,1
A689222,,2014-10-02 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Orange Tabby,Male,1,0,1,1
A681723,,2014-06-19 16:31:00,Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair Mix,Brown Tabby/White,Male,1,0,1,0
A702095,,2015-05-09 14:42:00,Transfer,Partner,Cat,Unknown,21,Domestic Shorthair Mix,Black/White,NaN,NaN,0,1,0
A664038,Kekipi,2013-11-23 12:43:00,Adoption,,Cat,Spayed Female,90,Domestic Medium Hair Mix,Torbie,Female,0,1,1,1
A717700,Heidi,2015-12-12 17:53:00,Return_to_owner,,Dog,Spayed Female,365,Australian Cattle Dog Mix,White/Red,Female,0,1,1,0
A675012,,2014-03-22 13:30:00,Transfer,SCRP,Cat,Intact Female,365,Domestic Medium Hair Mix,Brown Tabby/White,Female,1,0,1,0
A660413,Buster,2014-01-22 15:24:00,Adoption,Foster,Dog,Neutered Male,1460,Chihuahua Shorthair Mix,Brown/White,Male,0,1,1,0
A694466,Neko,2014-12-30 18:51:00,Return_to_owner,,Dog,Neutered Male,365,Pekingese Mix,Red/Black,Male,0,1,1,0
A544109,Tippy,2015-04-25 14:38:00,Return_to_owner,,Dog,Spayed Female,2555,Pit Bull,Brown Brindle/White,Female,0,1,1,0
A672286,Shelley,2014-02-14 14:27:00,Adoption,,Cat,Neutered Male,3650,Domestic Shorthair Mix,Orange Tabby,Male,0,1,1,1
A664163,Corral,2013-10-06 15:06:00,Adoption,,Dog,Spayed Female,365,Chihuahua Shorthair Mix,White/Black,Female,0,1,1,0
A711082,Precious,2015-09-21 12:39:00,Transfer,Partner,Dog,Intact Female,1095,Labrador Retriever Mix,Yellow/White,Female,1,1,1,0
A694163,Guido,2014-12-27 12:30:00,Adoption,,Dog,Neutered Male,365,Podengo Pequeno Mix,Chocolate/White,Male,0,1,1,0
A702943,Roberta,2015-06-26 18:28:00,Adoption,,Cat,Spayed Female,60,Domestic Medium Hair Mix,Blue Tabby/White,Female,0,1,1,0
A719201,Sampson,2016-01-22 14:02:00,Adoption,,Dog,Neutered Male,150,Catahoula Mix,Brown Brindle,Male,0,1,1,1
A716596,Coraline,2015-11-27 17:12:00,Adoption,,Dog,Spayed Female,150,Chihuahua Shorthair Mix,Brown,Female,0,1,1,1
A689190,Tug,2014-10-21 16:07:00,Adoption,,Dog,Neutered Male,365,Catahoula Mix,Brown Brindle/White,Male,0,1,1,0
A713966,Rainey,2015-10-23 15:01:00,Adoption,,Dog,Spayed Female,150,American Pit Bull Terrier Mix,Black/White,Female,0,1,1,0
A685363,Ella,2014-08-11 18:30:00,Adoption,,Dog,Spayed Female,210,Labrador Retriever Mix,Black/White,Female,0,1,1,0
A706850,,2015-07-04 12:10:00,Euthanasia,Suffering,Cat,Intact Male,21,Domestic Shorthair Mix,Black,Male,1,0,1,1
A669162,Atticus,2014-02-02 17:08:00,Return_to_owner,,Cat,Neutered Male,3650,Siamese Mix,Lynx Point,Male,0,1,1,1
A687281,,2014-09-04 17:06:00,Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair Mix,Cream Tabby,Male,1,0,1,1
A679965,Melanie,2014-05-28 16:59:00,Transfer,Partner,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Tan/White,Female,0,1,1,0
A682472,,2014-07-13 14:15:00,Adoption,,Cat,Neutered Male,120,Domestic Shorthair Mix,Black/White,Male,0,0,1,0
A701119,,2015-05-09 11:57:00,Transfer,Partner,Dog,Intact Male,14,Yorkshire Terrier/Rat Terrier,Tricolor,Male,1,0,0,1
A677475,,2014-04-25 15:49:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Blue Tabby,Male,1,0,1,1
A670085,,2014-01-05 10:41:00,Euthanasia,Rabies Risk,Cat,Intact Male,1825,Domestic Longhair Mix,Blue/White,Male,1,0,1,0
A670638,,2014-01-19 16:13:00,Transfer,SCRP,Cat,Intact Female,210,Domestic Shorthair Mix,Brown Tabby/White,Female,1,0,1,0
A689403,,2014-10-04 09:00:00,Transfer,SCRP,Cat,Intact Female,2190,Domestic Shorthair Mix,Calico,Female,1,0,1,1
A667927,Sadie,2013-12-22 17:20:00,Adoption,,Dog,Spayed Female,30,German Shepherd/Mastiff,Tan,Female,0,1,0,1
A715376,Gunny,2015-11-08 18:11:00,Return_to_owner,,Dog,Neutered Male,1095,Siberian Husky Mix,Black/White,Male,0,1,1,0
A694065,Buster,2014-12-21 18:40:00,Adoption,,Cat,Neutered Male,1460,Domestic Shorthair Mix,Brown Tabby,Male,0,1,1,1
A699072,Max,2015-04-02 15:08:00,Return_to_owner,,Cat,Neutered Male,365,Domestic Shorthair Mix,Brown Tabby,Male,0,1,1,1
A718458,,2016-01-08 19:14:00,Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair Mix,Blue Tabby,Female,0,0,1,1
A712449,Buffy,2015-09-27 13:18:00,Adoption,Offsite,Dog,Spayed Female,60,Cairn Terrier,Tan,Female,0,1,1,1
A696798,Turner,2015-02-22 11:41:00,Transfer,Partner,Dog,Neutered Male,365,Australian Cattle Dog,White/Red,Male,0,1,1,0
A687765,,2014-09-09 17:22:00,Transfer,Partner,Cat,Intact Male,7,Domestic Shorthair Mix,Black/White,Male,1,0,1,0
A677834,Baby Girl,2014-05-06 11:15:00,Transfer,Partner,Dog,Intact Female,1095,German Shepherd Mix,Brown/Black,Female,1,1,1,0
A687926,Cloud,2014-09-21 12:41:00,Adoption,,Cat,Neutered Male,30,Domestic Shorthair Mix,Blue/White,Male,0,1,1,0
A629706,Patron,2015-09-16 13:04:00,Euthanasia,Aggressive,Dog,Intact Male,1825,Pit Bull Mix,Brown Brindle/White,Male,1,1,1,0
